"year","dep","LL_dep","UL_dep"
1960,0.909251189895204,0.835296308683683,0.948886472260464
1961,0.907836539127598,0.833327831603257,0.948487666734225
1962,0.90287529147149,0.824641125548843,0.946103131954463
1963,0.897666469685402,0.813794709697288,0.942830106510836
1964,0.900965030518467,0.813237724159885,0.943357118619301
1965,0.905370943128997,0.82337253945585,0.946672909969589
1966,0.893652209442596,0.81165856765922,0.940579548255722
1967,0.867059210661395,0.77361928954705,0.929929098561849
1968,0.838907623196624,0.723651711838884,0.918916345431605
1969,0.822801377660951,0.688244560503038,0.910675776293872
1970,0.803106808563067,0.661696517530004,0.901312099705549
1971,0.77385617300728,0.630247928620263,0.887521021219428
1972,0.748386422487469,0.60405412559681,0.876356523124797
1973,0.720902543438719,0.570406711484312,0.864261262321454
1974,0.699589234254889,0.547382396289293,0.852671091514383
1975,0.707255751493807,0.563692711667183,0.851376140637971
1976,0.743560136632868,0.619965836208643,0.863264731359951
1977,0.764558040133269,0.648333865267976,0.870646975103669
1978,0.759962862388033,0.631596196950226,0.866890585259904
1979,0.759010973165382,0.634454802476869,0.867009293269334
1980,0.754930740442417,0.624471689353341,0.863751715032681
1981,0.728871124011455,0.585159243457043,0.849054061066986
1982,0.700711947531957,0.550549051565312,0.837783788024799
1983,0.698244770223565,0.552170074802739,0.839360514199481
1984,0.712852239551036,0.574484033039353,0.848427389522804
1985,0.735058106991191,0.602900517462847,0.859819251049599
1986,0.737467454443489,0.603102679348559,0.858485143859118
1987,0.732342758465338,0.590926201725119,0.85440156905271
1988,0.710621526086223,0.56259040102077,0.844201619094608
1989,0.685952474087747,0.52746080256462,0.831095468486234
1990,0.693159235147896,0.534049794957581,0.825777191487688
1991,0.692594350294461,0.519494624743887,0.81199107418087
1992,0.673579878699591,0.502099091614077,0.800401126905956
1993,0.647874157570861,0.491651578606616,0.796582194109035
1994,0.632068074442038,0.479766315715773,0.792719307425543
1995,0.6428022628117,0.497388257863951,0.796433417017948
1996,0.662522297659625,0.523350928869125,0.804293370149268
1997,0.682415057603271,0.552071440169666,0.814892173707351
1998,0.673365672442701,0.550877440991306,0.809638010916181
1999,0.66682674229444,0.552881941041119,0.804560783005151
2000,0.663209508412597,0.552967222623652,0.797264565245163
2001,0.648861927385926,0.53966221312199,0.780420082559419
2002,0.610531821801271,0.503858848231497,0.74808712256124
2003,0.57081769897697,0.467876836511106,0.714057273853645
2004,0.558672867318063,0.463450025464482,0.698470564279147
2005,0.565919276472888,0.480900490205186,0.700069486445609
2006,0.574245948767447,0.492171412236001,0.707674129690776
2007,0.571612778416451,0.489115402999704,0.704670343374936
2008,0.564379583937162,0.485275891197214,0.696025656089532
2009,0.556883063130396,0.481299584656667,0.685288023272009
2010,0.521659012115212,0.450008573452964,0.65543919337448
2011,0.510393795420456,0.434810765560835,0.6441917578167
2012,0.519987434102032,0.447316203713485,0.650202907942487
2013,0.517068353912654,0.445717858558868,0.648574424023848
2014,0.524487051275917,0.454470440483166,0.654087315041241
2015,0.518386380222913,0.447974866095295,0.646817505301704
2016,0.514585367874583,0.446529833830035,0.638337557975479
2017,0.497483548935152,0.437395384812456,0.616848201256203
2018,0.457755811197643,0.392359806049263,0.576226058566101
2019,0.410660007273664,0.318176631813887,0.522401197041264
