"year","dep","LL_dep","UL_dep"
1952,0.999007772086409,0.998755548318454,0.999146818618005
1953,0.996173209243355,0.995248480955983,0.996710555021317
1954,0.993129507687874,0.991587564966278,0.99407790975477
1955,0.990683079932833,0.988783169797822,0.991916513157837
1956,0.989822917138705,0.988290770430456,0.991111946550121
1957,0.989051246919862,0.987373261044887,0.990379762407266
1958,0.985955957094937,0.983873128297693,0.987672860429275
1959,0.983174893067941,0.980754707065151,0.985243948162216
1960,0.981347518295596,0.978423136073938,0.983523650039602
1961,0.978162226219611,0.974433236122297,0.980595941330225
1962,0.97277918264916,0.967862780396115,0.975782093826505
1963,0.970686022146641,0.965898576327719,0.973970067385736
1964,0.969402647978243,0.964812364154509,0.972859320661703
1965,0.97040839068842,0.966531150714821,0.973977165896394
1966,0.969729684790759,0.965820098534875,0.973453206661581
1967,0.966248195224633,0.962012541452101,0.97052103331659
1968,0.966498697469975,0.962448802464548,0.970839990062975
1969,0.966312173409793,0.962355636386852,0.970638271234777
1970,0.964842480422454,0.960492830462199,0.969066828104218
1971,0.962365353668256,0.958201866011791,0.966929912367409
1972,0.954919714891019,0.95019225241133,0.960424338747537
1973,0.94261082187448,0.935757422754334,0.949267539074461
1974,0.928682367493432,0.91971618511551,0.936266453417318
1975,0.917122258454477,0.906818745572052,0.925722738874552
1976,0.903270892694296,0.889436467558419,0.912673557327963
1977,0.892709371968249,0.877593044295019,0.902798780726553
1978,0.885558312168652,0.870421174627801,0.895897926530701
1979,0.872469686538488,0.854595322873829,0.884203283859747
1980,0.855139355439175,0.834876875594103,0.868619354095196
1981,0.842489808061576,0.822264840139485,0.856724641153242
1982,0.833819190742135,0.814938739596092,0.849369059811623
1983,0.823794678242485,0.803700336476472,0.839902891176746
1984,0.8063776797705,0.785383788159374,0.824211091623497
1985,0.789788075230324,0.767878867956726,0.810644718488916
1986,0.775422073853711,0.752744631829943,0.79836967355016
1987,0.771981641285326,0.749918333098038,0.794799506428225
1988,0.765342644508736,0.741361689188099,0.787535227654865
1989,0.754770184069053,0.729471412668945,0.776983396049392
1990,0.732729303942133,0.705102464178879,0.758675917976916
1991,0.698316525248923,0.668949939835386,0.729738843163123
1992,0.661896130537192,0.63292363342872,0.693660895619322
1993,0.629295027846862,0.59496593447763,0.66058419447642
1994,0.6102211088556,0.571329983097993,0.639874154666655
1995,0.594460205629863,0.555650011505443,0.625118385408487
1996,0.593691737700826,0.551970886315549,0.622210694377605
1997,0.585817878949705,0.542005877592315,0.619207629158719
1998,0.558081065815543,0.511648334196875,0.594067020712976
1999,0.531866464661067,0.484626427094653,0.568709759429063
2000,0.523105757691907,0.474567034744172,0.560226954138264
2001,0.506456766801531,0.458982163137392,0.54379784229521
2002,0.494409435855745,0.447390473246973,0.530247064420631
2003,0.485734795267332,0.438421872160741,0.523051153451136
2004,0.480472066079354,0.431435197656789,0.517983009424787
2005,0.465705864972958,0.416593331725745,0.50042906288589
2006,0.451607363727183,0.406858968981137,0.485885576988956
2007,0.445666155247643,0.4013133343436,0.484024156267322
2008,0.456752379095839,0.410939052025742,0.501700913029895
2009,0.457205277541398,0.410056480281972,0.503961773064803
2010,0.450891564853042,0.405796604252192,0.498582933856981
2011,0.442355731806077,0.397176222060656,0.490458827082506
2012,0.436327077401691,0.389638487650952,0.485083953253019
2013,0.437753018688914,0.387948342078796,0.488657757553938
2014,0.446259741697068,0.39370852379326,0.497921031481112
2015,0.443687589621134,0.391077909489679,0.499101915429586
2016,0.445339420400365,0.397895689569576,0.497684743803578
2017,0.447714925437476,0.396452429861219,0.489241622410763
2018,0.434276722888633,0.387272390894998,0.474638956608059
2019,0.426850977077039,0.381136783696879,0.463928984056704
2020,0.43449928084968,0.390334202230906,0.472917090919307
2021,0.435885547117554,0.392433773840371,0.478626467125556
