"gr_id","flag_id","fleet_id","yy","mm","mondate","dup_pac","ocean_id","vessel","alb_c","bet_c","skj_c","yft_c","pbf_c","oth_c","bum_c","blm_c","mls_c","swo_c","sfa_c","fal_c","ocs_c","mak_c","bsh_c","thr_c","por_c","ham_c","rhn_c","skj_lo","yft_lo","bet_lo","skj_hi","yft_hi","bet_hi","skj_un","yft_un","bet_un"
"O","JP","  ",1954,1,1954-01-01,FALSE,"WX",0,38,0,3101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1954,1,1954-01-01,FALSE,"WX",0,0,0,3411,2519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1954,1,1954-01-01,FALSE,"WX",4814,28069,2100,88073,4268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1954,1,1954-01-01,FALSE,"WX",0,23,360,4534,4001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4534,4001,360,4534,4001,360
"L","JP","CS",1955,1,1955-01-01,FALSE,"WX",588,0,0,0,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1955,1,1955-01-01,FALSE,"WX",1454,21179,23752,0,19721,0,0,0,0,0,0,577,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1955,1,1955-01-01,FALSE,"WX",0,0,0,0,2724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1955,1,1955-01-01,FALSE,"WX",52,9,997,157,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1955,1,1955-01-01,FALSE,"WX",0,0,0,3867,1048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1955,1,1955-01-01,FALSE,"WX",0,136,0,3626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1955,1,1955-01-01,FALSE,"WX",0,0,0,3590,2574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"P","JP","DW",1955,1,1955-01-01,FALSE,"WX",4646,24236,4000,92524,3983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S","JP","CS",1955,1,1955-01-01,FALSE,"WX",0,8,285,2906,2944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2906,2944,285,2906,2944,285
"L","JP","CS",1956,1,1956-01-01,FALSE,"WX",595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","JP","DW",1956,1,1956-01-01,FALSE,"WX",1495,18229,27296,0,22863,0,0,0,0,0,0,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","TW","OD",1956,1,1956-01-01,FALSE,"WX",0,0,0,0,2377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"L","US","HW",1956,1,1956-01-01,FALSE,"WX",51,6,1046,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","ID","  ",1956,1,1956-01-01,FALSE,"WX",0,0,0,4173,1162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","JP","  ",1956,1,1956-01-01,FALSE,"WX",0,57,0,3428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"O","PH","  ",1956,1,1956-01-01,FALSE,"WX",0,0,0,3779,2630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
